"REF_DATE","GEO","DGUID","Age group","Sex","Element","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","24 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145121","1.25.1.3","0.00072","","","","5"
"2020","Canada","2016A000011124","25 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145148","1.26.1.3","0.00076","","","","5"
"2020","Canada","2016A000011124","26 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145175","1.27.1.3","0.00079","","","","5"
"2020","Canada","2016A000011124","27 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145202","1.28.1.3","0.00083","","","","5"
"2020","Canada","2016A000011124","28 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145229","1.29.1.3","0.00087","","","","5"
"2020","Canada","2016A000011124","29 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145256","1.30.1.3","0.00090","","","","5"
"2020","Canada","2016A000011124","30 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145283","1.31.1.3","0.00093","","","","5"
"2020","Canada","2016A000011124","31 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145310","1.32.1.3","0.00096","","","","5"
"2020","Canada","2016A000011124","32 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145337","1.33.1.3","0.00099","","","","5"
"2020","Canada","2016A000011124","33 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145364","1.34.1.3","0.00102","","","","5"
"2020","Canada","2016A000011124","34 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145391","1.35.1.3","0.00104","","","","5"
"2020","Canada","2016A000011124","35 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145418","1.36.1.3","0.00106","","","","5"
"2020","Canada","2016A000011124","36 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145445","1.37.1.3","0.00109","","","","5"
"2020","Canada","2016A000011124","37 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145472","1.38.1.3","0.00112","","","","5"
"2020","Canada","2016A000011124","38 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145499","1.39.1.3","0.00117","","","","5"
"2020","Canada","2016A000011124","39 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145526","1.40.1.3","0.00123","","","","5"
"2020","Canada","2016A000011124","40 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145553","1.41.1.3","0.00130","","","","5"
"2020","Canada","2016A000011124","41 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145580","1.42.1.3","0.00138","","","","5"
"2020","Canada","2016A000011124","42 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145607","1.43.1.3","0.00148","","","","5"
"2020","Canada","2016A000011124","43 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145634","1.44.1.3","0.00158","","","","5"
"2020","Canada","2016A000011124","44 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145661","1.45.1.3","0.00169","","","","5"
"2020","Canada","2016A000011124","45 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145688","1.46.1.3","0.00181","","","","5"
"2020","Canada","2016A000011124","46 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145715","1.47.1.3","0.00194","","","","5"
"2020","Canada","2016A000011124","47 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145742","1.48.1.3","0.00208","","","","5"
"2020","Canada","2016A000011124","48 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145769","1.49.1.3","0.00224","","","","5"
"2020","Canada","2016A000011124","49 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145796","1.50.1.3","0.00241","","","","5"
"2020","Canada","2016A000011124","50 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145823","1.51.1.3","0.00261","","","","5"
"2020","Canada","2016A000011124","51 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145850","1.52.1.3","0.00282","","","","5"
"2020","Canada","2016A000011124","52 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145877","1.53.1.3","0.00304","","","","5"
"2020","Canada","2016A000011124","53 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145904","1.54.1.3","0.00330","","","","5"
"2020","Canada","2016A000011124","54 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145931","1.55.1.3","0.00357","","","","5"
"2020","Canada","2016A000011124","55 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145958","1.56.1.3","0.00387","","","","5"
"2020","Canada","2016A000011124","56 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300145985","1.57.1.3","0.00421","","","","5"
"2020","Canada","2016A000011124","57 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146012","1.58.1.3","0.00457","","","","5"
"2020","Canada","2016A000011124","58 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146039","1.59.1.3","0.00497","","","","5"
"2020","Canada","2016A000011124","59 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146066","1.60.1.3","0.00542","","","","5"
"2020","Canada","2016A000011124","60 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146093","1.61.1.3","0.00591","","","","5"
"2020","Canada","2016A000011124","61 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146120","1.62.1.3","0.00644","","","","5"
"2020","Canada","2016A000011124","62 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146147","1.63.1.3","0.00704","","","","5"
"2020","Canada","2016A000011124","63 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146174","1.64.1.3","0.00769","","","","5"
"2020","Canada","2016A000011124","64 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146201","1.65.1.3","0.00842","","","","5"
"2020","Canada","2016A000011124","65 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146228","1.66.1.3","0.00922","","","","5"
"2020","Canada","2016A000011124","66 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146255","1.67.1.3","0.01011","","","","5"
"2020","Canada","2016A000011124","67 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146282","1.68.1.3","0.01110","","","","5"
"2020","Canada","2016A000011124","68 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146309","1.69.1.3","0.01220","","","","5"
"2020","Canada","2016A000011124","69 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146336","1.70.1.3","0.01341","","","","5"
"2020","Canada","2016A000011124","70 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146363","1.71.1.3","0.01477","","","","5"
"2020","Canada","2016A000011124","71 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146390","1.72.1.3","0.01627","","","","5"
"2020","Canada","2016A000011124","72 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146417","1.73.1.3","0.01795","","","","5"
"2020","Canada","2016A000011124","73 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146444","1.74.1.3","0.01981","","","","5"
"2020","Canada","2016A000011124","74 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146471","1.75.1.3","0.02190","","","","5"
"2020","Canada","2016A000011124","75 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146498","1.76.1.3","0.02422","","","","5"
"2020","Canada","2016A000011124","76 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146525","1.77.1.3","0.02682","","","","5"
"2020","Canada","2016A000011124","77 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146552","1.78.1.3","0.02973","","","","5"
"2020","Canada","2016A000011124","78 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146579","1.79.1.3","0.03299","","","","5"
"2020","Canada","2016A000011124","79 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146606","1.80.1.3","0.03664","","","","5"
"2020","Canada","2016A000011124","80 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146633","1.81.1.3","0.04073","","","","5"
"2020","Canada","2016A000011124","81 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146660","1.82.1.3","0.04532","","","","5"
"2020","Canada","2016A000011124","82 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146687","1.83.1.3","0.05048","","","","5"
"2020","Canada","2016A000011124","83 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146714","1.84.1.3","0.05628","","","","5"
"2020","Canada","2016A000011124","84 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146741","1.85.1.3","0.06282","","","","5"
"2020","Canada","2016A000011124","85 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146768","1.86.1.3","0.07018","","","","5"
"2020","Canada","2016A000011124","86 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146795","1.87.1.3","0.07847","","","","5"
"2020","Canada","2016A000011124","87 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146822","1.88.1.3","0.08784","","","","5"
"2020","Canada","2016A000011124","88 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146849","1.89.1.3","0.09842","","","","5"
"2020","Canada","2016A000011124","89 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146876","1.90.1.3","0.11038","","","","5"
"2020","Canada","2016A000011124","90 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146903","1.91.1.3","0.12392","","","","5"
"2020","Canada","2016A000011124","91 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146930","1.92.1.3","0.13887","","","","5"
"2020","Canada","2016A000011124","92 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146957","1.93.1.3","0.15491","","","","5"
"2020","Canada","2016A000011124","93 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300146984","1.94.1.3","0.17200","","","","5"
"2020","Canada","2016A000011124","94 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147011","1.95.1.3","0.19011","","","","5"
"2020","Canada","2016A000011124","95 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147038","1.96.1.3","0.20821","","","","5"
"2020","Canada","2016A000011124","96 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147065","1.97.1.3","0.22766","","","","5"
"2020","Canada","2016A000011124","97 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147092","1.98.1.3","0.24793","","","","5"
"2020","Canada","2016A000011124","98 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147119","1.99.1.3","0.26891","","","","5"
"2020","Canada","2016A000011124","99 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147146","1.100.1.3","0.29044","","","","5"
"2020","Canada","2016A000011124","100 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147173","1.101.1.3","0.31233","","","","5"
"2020","Canada","2016A000011124","101 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147200","1.102.1.3","0.33440","","","","5"
"2020","Canada","2016A000011124","102 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147227","1.103.1.3","0.35647","","","","5"
"2020","Canada","2016A000011124","103 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147254","1.104.1.3","0.37834","","","","5"
"2020","Canada","2016A000011124","104 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147281","1.105.1.3","0.39981","","","","5"
"2020","Canada","2016A000011124","105 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147308","1.106.1.3","0.42073","","","","5"
"2020","Canada","2016A000011124","106 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147335","1.107.1.3","0.44093","","","","5"
"2020","Canada","2016A000011124","107 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147362","1.108.1.3","0.46029","","","","5"
"2020","Canada","2016A000011124","108 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147389","1.109.1.3","0.47870","","","","5"
"2020","Canada","2016A000011124","109 years","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147416","1.110.1.3","0.49607","","","","5"
"2020","Canada","2016A000011124","110 years and over","Both sexes","Death probability between age x and x+1 (qx)","Number","223","units","0","v1300147443","1.111.1.3","1.00000","","","","5"


